ID	BW56	GENERATION	SEX
347203	835	3	2
552108	275	8	1
136302	566	2	2
615605	786	5	1
121702	599	2	1
131513	717	13	1
320503	870	3	1
625211	445	11	2
357403	544	3	2
272915	646	15	1
636211	515	11	2
328915	840	15	1
113802	784	2	2
47202	449	2	1
356403	816	3	1
726616	385	16	2
271815	599	15	2
619405	628	5	2
351803	506	3	2
332804	525	4	2
44502	666	2	2
260415	485	15	2
723316	408	16	2
732416	917	16	1
553408	458	8	2
81702	689	2	2
142302	524	2	1
68602	606	2	2
258315	703	15	1
333415	567	15	2
337203	636	3	1
253415	553	15	2
305915	612	15	2
841706	586	6	1
346803	777	3	1
529408	196	8	1
533808	502	8	1
627411	707	11	1
128817	443	17	2
316015	533	15	2
328315	881	15	1
430010	996	10	1
303015	638	15	2
73402	446	2	2
96502	1045	2	1
62302	463	2	2
334203	743	3	1
342803	520	3	2
633311	368	11	2
854606	800	6	2
215609	575	9	2
640411	804	11	1
618505	832	5	1
324503	539	3	2
385610	646	10	2
136902	638	2	1
319315	580	15	1
541308	408	8	2
77402	695	2	1
41202	352	2	1
259015	437	15	2
736716	834	16	2
434710	403	10	2
301418	707	18	1
555008	184	8	1
215109	848	9	2
541108	438	8	2
107102	671	2	2
325715	662	15	1
306118	575	18	1
725616	481	16	2
332415	704	15	1
197918	372	18	1
334503	535	3	2
83602	502	2	1
351804	781	4	1
313515	631	15	2
138413	492	13	1
329803	783	3	2
550008	291	8	1
521508	344	8	2
863806	809	6	2
359603	949	3	1
435010	628	10	2
854406	652	6	1
860706	854	6	2
142102	679	2	2
641411	695	11	2
356504	668	4	1
632011	571	11	1
325803	908	3	1
857206	660	6	2
339604	639	4	1
197018	723	18	1
328015	633	15	1
370704	509	4	2
847506	716	6	1
295815	701	15	1
219709	734	9	2
719816	506	16	2
290815	712	15	1
197718	425	18	1
378210	362	10	2
636605	858	5	1
378610	938	10	1
560108	526	8	1
326003	58	3	2
840206	781	6	2
255015	604	15	2
138002	773	2	2
724216	643	16	2
558808	612	8	1
901007	782	7	1
235415	834	15	1
330904	638	4	1
105502	279	2	2
245615	589	15	2
351303	632	3	2
901307	848	7	1
134413	621	13	2
56002	752	2	2
61602	459	2	1
347504	540	4	1
76602	744	2	1
520708	214	8	1
151914	1104	14	1
540508	219	8	2
90902	351	2	2
333403	495	3	2
333915	474	15	2
842106	841	6	2
563008	299	8	1
119902	639	2	2
629405	646	5	2
332603	631	3	1
248115	505	15	1
110402	740	2	2
733816	772	16	1
376710	662	10	2
271315	674	15	1
289815	501	15	1
85702	394	2	2
289015	599	15	2
220509	815	9	2
302015	460	15	2
222309	760	9	1
539708	404	8	1
122902	630	2	1
333815	770	15	1
80602	448	2	1
562308	532	8	1
163014	1057	14	1
275815	406	15	2
532208	377	8	2
114717	498	17	2
64202	899	2	1
122302	862	2	2
313615	681	15	2
843406	750	6	1
315903	584	3	1
199318	500	18	2
355003	538	3	2
562208	392	8	2
298015	443	15	2
69802	412	2	2
284815	306	15	2
231309	565	9	2
357203	794	3	1
99802	621	2	2
624505	878	5	1
100402	732	2	1
94402	266	2	2
554308	486	8	2
299218	356	18	2
47402	627	2	1
542508	309	8	1
74202	472	2	2
337503	408	3	2
139102	839	2	2
379310	448	10	2
547208	317	8	2
135417	502	17	2
135902	347	2	2
111902	674	2	1
307715	629	15	1
319215	487	15	1
137317	500	17	2
304215	623	15	1
847406	623	6	2
326215	528	15	2
92202	494	2	2
519608	174	8	1
341304	697	4	1
532108	334	8	2
635405	816	5	1
377110	591	10	2
632411	585	11	2
293415	684	15	1
193018	365	18	2
323503	861	3	2
289915	657	15	2
66502	650	2	1
72102	557	2	1
139517	610	17	2
166914	625	14	2
237215	665	15	1
913207	376	7	1
327015	658	15	2
87702	832	2	1
552708	537	8	1
641211	677	11	2
638505	597	5	2
540608	114	8	2
312515	622	15	1
326615	590	15	2
302615	664	15	1
287215	505	15	1
283615	527	15	1
848406	406	6	2
163914	640	14	2
844906	654	6	2
539908	296	8	1
237515	687	15	1
284315	447	15	1
70902	347	2	2
259315	564	15	2
293515	761	15	2
376804	690	4	2
340603	760	3	2
292215	534	15	1
847906	1102	6	1
384810	418	10	2
216809	610	9	2
120217	608	17	2
259715	492	15	1
539808	430	8	2
548708	354	8	2
557008	465	8	2
908607	734	7	1
336503	497	3	2
542608	193	8	1
64002	812	2	1
334103	679	3	1
102402	640	2	2
91502	497	2	1
85202	151	2	2
227409	967	9	1
125002	385	2	1
733316	871	16	1
72202	923	2	1
381610	861	10	1
330415	626	15	1
347903	531	3	2
38002	636	2	2
339003	451	3	2
630405	731	5	1
331915	694	15	1
316703	695	3	1
339403	755	3	2
356803	862	3	1
430410	866	10	1
273815	638	15	1
299715	608	15	1
287115	690	15	1
328503	499	3	2
609305	769	5	1
63602	846	2	1
383310	537	10	2
161014	516	14	2
320103	558	3	2
127202	465	2	2
327115	784	15	1
72502	637	2	1
260215	507	15	2
345404	370	4	2
65002	595	2	1
342204	390	4	2
108302	608	2	1
101202	460	2	1
321115	582	15	1
253615	627	15	1
132213	703	13	1
243215	654	15	1
533408	340	8	2
315915	743	15	1
112602	543	2	2
246715	555	15	1
559808	521	8	2
530208	353	8	2
307515	608	15	2
62602	642	2	1
53702	731	2	2
718816	343	16	2
251415	430	15	2
905507	604	7	1
322803	799	3	2
92302	618	2	2
640511	624	11	2
341403	394	3	2
224009	875	9	1
306415	547	15	2
254515	587	15	1
346903	681	3	1
541008	487	8	1
553508	581	8	1
136513	525	13	2
41002	770	2	2
518708	204	8	2
531508	188	8	1
332015	670	15	1
124802	267	2	2
136517	604	17	2
561908	302	8	1
124502	575	2	1
124402	579	2	2
326703	1136	3	1
304715	666	15	2
352203	596	3	1
306115	465	15	2
858806	701	6	2
251215	600	15	1
284415	279	15	1
726516	840	16	1
167214	1067	14	1
37802	504	2	2
295215	631	15	1
375110	807	10	1
340403	949	3	1
289115	731	15	2
66302	497	2	2
38602	465	2	2
142502	764	2	1
79702	628	2	2
39502	473	2	1
84702	761	2	1
282715	574	15	2
135313	494	13	2
142802	618	2	2
291915	698	15	1
559908	408	8	1
277415	191	15	2
248615	534	15	1
284115	733	15	1
860006	986	6	1
94702	669	2	2
554208	354	8	1
309615	898	15	1
105702	267	2	2
365704	850	4	1
322403	788	3	2
320803	775	3	1
275315	534	15	2
521108	298	8	2
118302	668	2	2
128813	954	13	1
620505	388	5	2
159514	1020	14	1
340804	607	4	1
310315	759	15	2
739316	621	16	2
288615	284	15	2
309715	826	15	2
335603	471	3	2
190518	785	18	1
71002	664	2	1
154614	603	14	1
339204	550	4	1
46802	695	2	1
282815	392	15	1
364604	718	4	2
351603	656	3	2
77202	600	2	1
188418	742	18	1
278015	384	15	2
226509	965	9	1
860306	836	6	2
134113	775	13	1
104602	692	2	2
127213	600	13	1
316003	781	3	1
551408	477	8	2
729016	675	16	2
250915	533	15	2
103002	560	2	2
549308	485	8	1
